"CASEID","D104","D108","D111","V012","V024","V025","V131","V149","V136","V190","V155","S119"
"      003117301  4",NA,NA,NA,15,1,2,4,3,10,1,2,4
"      003117301  5",NA,NA,NA,12,1,2,4,2,10,1,2,4
"      003303001  3",NA,NA,NA,42,1,2,10,4,4,3,2,10
"      003303201  2",0,0,0,27,1,2,10,3,4,1,2,10
"      003303301  2",0,0,0,45,1,2,10,1,5,1,2,10
"      003303401  2",0,0,0,43,1,2,10,2,3,1,2,10
"      003308601  2",0,0,0,37,1,2,10,2,7,1,2,4
"      003308701  2",1,0,1,30,1,2,10,1,6,1,2,10
"      003308701  3",NA,NA,NA,14,1,2,10,3,6,1,2,10
"      003308701  4",NA,NA,NA,13,1,2,10,3,6,1,2,10
"      003308801  2",0,0,0,31,1,2,10,1,7,1,2,4
"      003308801  4",NA,NA,NA,14,1,2,10,3,7,1,2,10
"      003308901  2",1,0,0,37,1,2,10,3,2,1,2,10
"      003309001  4",0,0,0,19,1,2,10,4,5,1,2,4
"      003309501  2",0,0,0,47,1,2,10,1,6,1,1,10
"      003309501  3",NA,NA,NA,17,1,2,10,3,6,1,2,10
"      003309701  2",0,0,0,38,1,2,10,1,8,1,0,10
"      003309701  3",NA,NA,NA,13,1,2,10,3,8,1,2,10
"      003309701  6",NA,NA,NA,18,1,2,10,4,8,1,2,10
"      003309801  2",NA,NA,NA,41,1,2,10,4,6,1,2,10
"      003309801  3",NA,NA,NA,16,1,2,10,3,6,1,2,10
"      003309901  2",0,0,0,31,1,2,10,5,3,2,2,10
"      003310001  3",0,0,0,33,1,2,10,5,6,1,2,10
"      003310001  4",NA,NA,NA,14,1,2,10,3,6,1,2,10
"      003401201  2",0,0,0,24,1,2,4,4,4,1,2,4
"      003401401  1",1,0,0,35,1,2,4,3,6,1,2,4
"      003401501  2",0,0,0,26,1,2,4,2,5,1,2,4
"      003401601  2",0,0,0,20,1,2,4,3,4,1,2,4
"      003405501  2",0,0,0,30,1,2,4,2,6,1,0,4
"      003405901  2",1,0,0,22,1,2,4,3,3,1,2,4
"      003406001  2",0,0,0,20,1,2,4,1,4,1,1,4
"      003406201  2",0,0,0,35,1,2,4,2,6,1,2,4
"      003406201  4",NA,NA,NA,13,1,2,4,3,6,1,2,4
"      003406401  2",0,0,0,24,1,2,10,4,4,1,2,10
"      003406501  2",0,0,0,23,1,2,10,4,4,1,2,10
"      003406601  2",0,0,0,44,1,2,10,3,5,1,2,10
"      003406801  2",NA,NA,NA,31,1,2,10,2,5,2,2,10
"      003406801  3",NA,NA,NA,16,1,2,10,4,5,2,2,10
"      003406801  4",NA,NA,NA,13,1,2,10,3,5,2,2,10
